Date,Market Cap
1999-10-15 00:00:00-04:00,1004718397.313652
1999-10-18 00:00:00-04:00,951854889.298645
1999-10-19 00:00:00-04:00,913657051.3598328
1999-10-20 00:00:00-04:00,945966372.0932922
1999-10-21 00:00:00-04:00,990030459.7354202
1999-10-22 00:00:00-04:00,1013540635.0034332
1999-10-25 00:00:00-04:00,963587480.3410873
1999-10-26 00:00:00-04:00,1057604172.8306961
1999-10-27 00:00:00-04:00,1010607006.1548157
1999-10-28 00:00:00-04:00,963587480.3410873
1999-10-29 00:00:00-04:00,1039983064.582901
1999-11-01 00:00:00-05:00,1104601156.2349548
1999-11-02 00:00:00-05:00,1175108039.999794
1999-11-03 00:00:00-05:00,1289679103.042572
1999-11-04 00:00:00-05:00,1371940845.3518906
1999-11-05 00:00:00-05:00,1327877124.253006
1999-11-08 00:00:00-05:00,1366075145.46344
1999-11-09 00:00:00-05:00,1345498140.8649902
1999-11-10 00:00:00-05:00,1333765824.7299805
1999-11-11 00:00:00-05:00,1427759699.902687
1999-11-12 00:00:00-05:00,1504155467.4161224
1999-11-15 00:00:00-05:00,1474779042.4447937
1999-11-16 00:00:00-05:00,1615793909.6042023
1999-11-17 00:00:00-05:00,1677478922.2225037
1999-11-18 00:00:00-05:00,1683344713.7467651
1999-11-19 00:00:00-05:00,2015324945.2894135
1999-11-22 00:00:00-05:00,2012392782.6137695
1999-11-23 00:00:00-05:00,1868445019.6922302
1999-11-24 00:00:00-05:00,1809670726.9698334
1999-11-26 00:00:00-05:00,1797938960.6496887
1999-11-29 00:00:00-05:00,1733297410.2300568
1999-11-30 00:00:00-05:00,1627526225.739212
1999-12-01 00:00:00-05:00,1709787876.4127197
1999-12-02 00:00:00-05:00,1836113156.5493011
1999-12-03 00:00:00-05:00,1792049893.6294708
1999-12-06 00:00:00-05:00,1842002406.8411407
1999-12-07 00:00:00-05:00,1780294668.541748
1999-12-08 00:00:00-05:00,1859623606.7247467
1999-12-09 00:00:00-05:00,1803804385.6307068
1999-12-10 00:00:00-05:00,1783227381.032257
1999-12-13 00:00:00-05:00,1777361406.236374
1999-12-14 00:00:00-05:00,1747985531.0799103
1999-12-15 00:00:00-05:00,1692167043.0723572
1999-12-16 00:00:00-05:00,1680411817.9846344
1999-12-17 00:00:00-05:00,1768539809.9972687
1999-12-20 00:00:00-05:00,1915443011.0904083
1999-12-21 00:00:00-05:00,1997704661.763916
1999-12-22 00:00:00-05:00,2044701186.9891205
1999-12-23 00:00:00-05:00,2179849162.9945374
1999-12-27 00:00:00-05:00,2097587329.049408
1999-12-28 00:00:00-05:00,2091698445.3008118
1999-12-29 00:00:00-05:00,2162205603.9730835
1999-12-30 00:00:00-05:00,2179849162.9945374
1999-12-31 00:00:00-05:00,2206269050.1645355
2000-01-03 00:00:00-05:00,2200403441.9118958
2000-01-04 00:00:00-05:00,2141651691.5989685
2000-01-05 00:00:00-05:00,2071143616.5685883
2000-01-06 00:00:00-05:00,1935996556.92128
2000-01-07 00:00:00-05:00,1968328236.7925873
2000-01-10 00:00:00-05:00,2032946511.7162628
2000-01-11 00:00:00-05:00,1950684677.7711334
2000-01-12 00:00:00-05:00,1900753607.339203
2000-01-13 00:00:00-05:00,1980060919.4708405
2000-01-14 00:00:00-05:00,2065255099.3632355
2000-01-18 00:00:00-05:00,2153405817.056961
2000-01-19 00:00:00-05:00,2132829912.0882416
2000-01-20 00:00:00-05:00,2126963754.0207367
2000-01-21 00:00:00-05:00,2103453670.3885345
2000-01-24 00:00:00-05:00,2009458603.9502869
2000-01-25 00:00:00-05:00,1991815778.0153198
2000-01-26 00:00:00-05:00,1909553210.9837036
2000-01-27 00:00:00-05:00,1809670726.9698334
2000-01-28 00:00:00-05:00,1756807677.1338806
2000-01-31 00:00:00-05:00,1742119373.0124054
2000-02-01 00:00:00-05:00,1783227381.032257
2000-02-02 00:00:00-05:00,1833180444.058792
2000-02-03 00:00:00-05:00,1862556869.0301208
2000-02-04 00:00:00-05:00,1906620315.2215729
2000-02-07 00:00:00-05:00,1789116264.7808533
2000-02-08 00:00:00-05:00,1874311727.5746002
2000-02-09 00:00:00-05:00,1921308252.7998047
2000-02-10 00:00:00-05:00,2314974779.8621063
2000-02-11 00:00:00-05:00,2350238622.4090576
2000-02-14 00:00:00-05:00,2726259941.00531
2000-02-15 00:00:00-05:00,2620512215.2820435
2000-02-16 00:00:00-05:00,2740948978.213272
2000-02-17 00:00:00-05:00,2837898749.7366333
2000-02-18 00:00:00-05:00,3166946452.0603943
2000-02-22 00:00:00-05:00,3078795734.3666687
2000-02-23 00:00:00-05:00,3096439659.931366
2000-02-24 00:00:00-05:00,3067062868.416794
2000-02-25 00:00:00-05:00,2876096770.9470673
2000-02-28 00:00:00-05:00,2855542308.758087
2000-02-29 00:00:00-05:00,3008288392.4227753
2000-03-01 00:00:00-05:00,2920160400.410141
2000-03-02 00:00:00-05:00,2723328144.8729095
2000-03-03 00:00:00-05:00,2767392507.42247
2000-03-06 00:00:00-05:00,2749770391.1807556
2000-03-07 00:00:00-05:00,3916080202.0732117
2000-03-08 00:00:00-05:00,3948387690.090454
2000-03-09 00:00:00-05:00,4714420549.797363
2000-03-10 00:00:00-05:00,5546538957.031311
2000-03-13 00:00:00-05:00,7015451474.865356
2000-03-14 00:00:00-05:00,5176383429.95932
2000-03-15 00:00:00-05:00,4964862320.485748
2000-03-16 00:00:00-05:00,4426504130.98941
2000-03-17 00:00:00-05:00,4694589827.242493
2000-03-20 00:00:00-05:00,4691656015.122253
2000-03-21 00:00:00-05:00,4459558634.136719
2000-03-22 00:00:00-05:00,4491891047.094513
2000-03-23 00:00:00-05:00,4571196343.238312
2000-03-24 00:00:00-05:00,4380252604.906433
2000-03-27 00:00:00-05:00,4092335086.46875
2000-03-28 00:00:00-05:00,3786820193.4582825
2000-03-29 00:00:00-05:00,3537101979.1323853
2000-03-30 00:00:00-05:00,3516524241.4474487
2000-03-31 00:00:00-05:00,3971154424.0250244
2000-04-03 00:00:00-04:00,3660494363.506836
2000-04-04 00:00:00-04:00,3525346937.316284
2000-04-05 00:00:00-04:00,4309745446.234161
2000-04-06 00:00:00-04:00,4509511513.891632
2000-04-07 00:00:00-04:00,4820914191.020966
2000-04-10 00:00:00-04:00,4394939626.126556
2000-04-11 00:00:00-04:00,4133467103.071045
2000-04-12 00:00:00-04:00,3704558726.0563965
2000-04-13 00:00:00-04:00,3545901216.2336426
2000-04-14 00:00:00-04:00,3233774616.198578
2000-04-17 00:00:00-04:00,3399021473.908081
2000-04-18 00:00:00-04:00,4001274381.9656067
2000-04-19 00:00:00-04:00,3810307184.86615
2000-04-20 00:00:00-04:00,3789753639.0352783
2000-04-24 00:00:00-04:00,3601720620.599304
2000-04-25 00:00:00-04:00,3995386231.3034973
2000-04-26 00:00:00-04:00,3954254581.244446
2000-04-27 00:00:00-04:00,4277414865.992584
2000-04-28 00:00:00-04:00,4189284308.177246
2000-05-01 00:00:00-04:00,4324433933.627258
2000-05-02 00:00:00-04:00,4156977919.789734
2000-05-03 00:00:00-04:00,4089402373.978241
2000-05-04 00:00:00-04:00,4139354520.6466675
2000-05-05 00:00:00-04:00,4330299725.15152
2000-05-08 00:00:00-04:00,4171664207.9233704
2000-05-09 00:00:00-04:00,4112911357.980713
2000-05-10 00:00:00-04:00,3707491805.090149
2000-05-11 00:00:00-04:00,3866127688.8615417
2000-05-12 00:00:00-04:00,3748623455.1492004
2000-05-15 00:00:00-04:00,4007140173.489868
2000-05-16 00:00:00-04:00,4418426984.077667
2000-05-17 00:00:00-04:00,5194003530.213196
2000-05-18 00:00:00-04:00,4841470302.654541
2000-05-19 00:00:00-04:00,4800338652.5954895
2000-05-22 00:00:00-04:00,5111765155.035645
2000-05-23 00:00:00-04:00,5070632038.803619
2000-05-24 00:00:00-04:00,5005992870.91507
2000-05-25 00:00:00-04:00,4935486445.329285
2000-05-26 00:00:00-04:00,4960463801.56485
2000-05-30 00:00:00-04:00,5164626921.970245
2000-05-31 00:00:00-04:00,5364393356.170959
2000-06-01 00:00:00-04:00,5514229636.297852
2000-06-02 00:00:00-04:00,6184055890.90741
2000-06-05 00:00:00-04:00,6316971068.745605
2000-06-06 00:00:00-04:00,6001911756.220032
2000-06-07 00:00:00-04:00,5734570509.294312
2000-06-08 00:00:00-04:00,5778637804.189819
2000-06-09 00:00:00-04:00,5943138746.398987
2000-06-12 00:00:00-04:00,5784502129.541107
2000-06-13 00:00:00-04:00,5966647730.401459
2000-06-14 00:00:00-04:00,5960779006.53125
2000-06-15 00:00:00-04:00,6116481811.26889
2000-06-16 00:00:00-04:00,7038937366.643494
2000-06-19 00:00:00-04:00,7479601518.56073
2000-06-20 00:00:00-04:00,7379717751.645508
2000-06-21 00:00:00-04:00,8128852967.831299
2000-06-22 00:00:00-04:00,7685256469.966797
2000-06-23 00:00:00-04:00,6959632803.586182
2000-06-26 00:00:00-04:00,7799829090.818359
2000-06-27 00:00:00-04:00,6698161380.1604
2000-06-28 00:00:00-04:00,6439643562.190002
2000-06-29 00:00:00-04:00,5511296557.264099
2000-06-30 00:00:00-04:00,5975470059.727051
2000-07-03 00:00:00-04:00,5746325551.110413
2000-07-05 00:00:00-04:00,5129384522.203033
2000-07-06 00:00:00-04:00,5440790131.678314
2000-07-07 00:00:00-04:00,5470165273.748291
2000-07-10 00:00:00-04:00,5752193541.8941345
2000-07-11 00:00:00-04:00,6216367410.90033
2000-07-12 00:00:00-04:00,6392621195.666138
2000-07-13 00:00:00-04:00,6991942124.319641
2000-07-14 00:00:00-04:00,6939055065.901245
2000-07-17 00:00:00-04:00,6862682848.791199
2000-07-18 00:00:00-04:00,6727536155.687134
2000-07-19 00:00:00-04:00,6298626312.499512
2000-07-20 00:00:00-04:00,6469016871.543762
2000-07-21 00:00:00-04:00,6551280171.661865
2000-07-24 00:00:00-04:00,5993090526.52417
2000-07-25 00:00:00-04:00,5769814008.691254
2000-07-26 00:00:00-04:00,5340906364.763092
2000-07-27 00:00:00-04:00,4958995795.875
2000-07-28 00:00:00-04:00,5076499296.5008545
2000-07-31 00:00:00-04:00,5640556199.335785
2000-08-01 00:00:00-04:00,5528917757.147705
2000-08-02 00:00:00-04:00,5640556199.335785
2000-08-03 00:00:00-04:00,5887341701.171173
2000-08-04 00:00:00-04:00,5993090526.52417
2000-08-07 00:00:00-04:00,6463128720.881653
2000-08-08 00:00:00-04:00,6322115136.623596
2000-08-09 00:00:00-04:00,6134102278.0660095
2000-08-10 00:00:00-04:00,6204610902.911255
2000-08-11 00:00:00-04:00,6057728961.326233
2000-08-14 00:00:00-04:00,6116481811.26889
2000-08-15 00:00:00-04:00,6693759195.807068
2000-08-16 00:00:00-04:00,6862682848.791199
2000-08-17 00:00:00-04:00,6991942124.319641
2000-08-18 00:00:00-04:00,7238702701.214478
2000-08-21 00:00:00-04:00,7350342976.118774
2000-08-22 00:00:00-04:00,6657030096.644592
2000-08-23 00:00:00-04:00,7044826983.478577
2000-08-24 00:00:00-04:00,7232839475.49292
2000-08-25 00:00:00-04:00,7050693874.632568
2000-08-28 00:00:00-04:00,7332721776.235168
2000-08-29 00:00:00-04:00,7315101309.438049
2000-08-30 00:00:00-04:00,7379717751.645508
2000-08-31 00:00:00-04:00,7461981784.850098
2000-09-01 00:00:00-04:00,7473737559.752686
2000-09-05 00:00:00-04:00,7485490402.309326
2000-09-06 00:00:00-04:00,6968432040.687439
2000-09-07 00:00:00-04:00,7344475351.878296
2000-09-08 00:00:00-04:00,6909680290.374512
2000-09-11 00:00:00-04:00,6627653121.858398
2000-09-12 00:00:00-04:00,6586521105.2561035
